,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
395,Soul Argento Sarrià,ChIJKbcr7SmZpBIRekz2xELs08M,OPERATIONAL,"{'lat': 41.3945693, 'lng': 2.1344234}",4.4,,23,"Carrer del Dr. Fleming, 23, Barcelona"
396,Taparazzi,ChIJZb_UzHGYpBIR03KP-fCsWIw,OPERATIONAL,"{'lat': 41.3937397, 'lng': 2.136073}",3.7,2.0,258,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
397,Qq,ChIJGeUOt02ZpBIRO20g-LIX7PE,OPERATIONAL,"{'lat': 41.3936683, 'lng': 2.1359275}",4.6,2.0,16,"C. de Santa Fe de Nou Mèxic, 4, Barcelona"
398,Grill Corner Sarrià,ChIJRczGORSZpBIRs0y3rO0nOoc,OPERATIONAL,"{'lat': 41.3925995, 'lng': 2.1344166}",4.3,,487,"Carrer de Can Ràbia, 3, Barcelona"
399,CREPNOVA FLEMING,ChIJuZnf2m-YpBIR6zncaluJlgs,OPERATIONAL,"{'lat': 41.3933132, 'lng': 2.1349797}",3.9,2.0,1434,"Carrer del Dr. Fleming, 15, Barcelona"
400,Can Buïgas,ChIJ14xfShyZpBIRvwsWDIM_LDk,OPERATIONAL,"{'lat': 41.3939779, 'lng': 2.1320144}",4.3,1.0,168,"Plaça d'Eguilaz, n9, Barcelona"
401,La Burguesa Garden,ChIJc5WJMG6YpBIRQuh_4s3dwGU,OPERATIONAL,"{'lat': 41.3945723, 'lng': 2.1344283}",4.0,1.0,510,"Carrer del Dr. Fleming, 25, Local 5, Barcelona"
402,Keik Cafè Restaurant,ChIJ-dY8K26YpBIR058Nc-5uiHk,OPERATIONAL,"{'lat': 41.39414300000001, 'lng': 2.1345976}",4.2,2.0,737,"Carrer del Dr. Fleming, 21, Barcelona"
403,Restaurant Carmel,ChIJKZ0y426YpBIRWh8EY5tYZQk,OPERATIONAL,"{'lat': 41.3944531, 'lng': 2.1323254}",4.3,,166,"Carrer de Buïgas, 26, Barcelona"
404,Frankfurts de Cine,ChIJscI0tHGYpBIR33pZ-395x0E,OPERATIONAL,"{'lat': 41.3936314, 'lng': 2.1358509}",3.3,1.0,236,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
405,Restaurant El Nou,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,OPERATIONAL,"{'lat': 41.3944509, 'lng': 2.1372271}",4.1,2.0,103,"C. de Santa Fe de Nou Mèxic, 15, Barcelona"
406,Restaurante Sarrià 82,ChIJw6I3hW-YpBIRPPL6twQMIWk,OPERATIONAL,"{'lat': 41.3919751, 'lng': 2.1331608}",4.3,1.0,95,"Av. de Sarrià, 129, Barcelona"
407,Leblon restaurant,ChIJE85vRWKZpBIRNhlZVbgwIKo,OPERATIONAL,"{'lat': 41.39609979999999, 'lng': 2.1329336}",4.7,,83,"Carrer d'Angel Guimerà, 14, Barcelona"
408,ÁNDELE Santa Fe,ChIJ8dRB0nqYpBIRTnBNVYyYh_o,OPERATIONAL,"{'lat': 41.3938386, 'lng': 2.1361458}",4.1,2.0,4057,"C. de Santa Fe de Nou Mèxic, 6, Barcelona"
409,9Reinas Gourmet. Restaurant argentí,ChIJG8uI43CYpBIRYcdUjQKaYkI,OPERATIONAL,"{'lat': 41.3936739, 'lng': 2.1384925}",4.5,3.0,375,"C/ de Ganduxer, 28, Barcelona"
410,Isabella's Restaurant,ChIJrya5j3GYpBIRwr4kUM3PkQI,OPERATIONAL,"{'lat': 41.3960258, 'lng': 2.1369592}",4.3,3.0,1642,"C/ de Ganduxer, 50, Barcelona"
411,Nubar Barcelona,ChIJJWY_JHCYpBIRIRKPz1kJ9EI,OPERATIONAL,"{'lat': 41.393653, 'lng': 2.1355485}",3.9,3.0,2330,"Carrer del Dr. Fleming, 12 - 14, Barcelona"
412,Restaurant El Racó d'Eguilaz,ChIJMTYqA2-YpBIRbc9zIA2sY68,OPERATIONAL,"{'lat': 41.393975, 'lng': 2.1320109}",3.4,2.0,8,"Ronda del General Mitre, 23, Barcelona"
413,A Vocados Fleming,ChIJtcPbZAeZpBIR9j5qGDSZTes,OPERATIONAL,"{'lat': 41.3945793, 'lng': 2.1344112}",4.2,,354,"Carrer del Dr. Fleming, 25, Barcelona"
414,Soul Argento Sarrià,ChIJKbcr7SmZpBIRekz2xELs08M,OPERATIONAL,"{'lat': 41.3945693, 'lng': 2.1344234}",4.4,,23,"Carrer del Dr. Fleming, 23, Barcelona"
415,Leblon restaurant,ChIJE85vRWKZpBIRNhlZVbgwIKo,OPERATIONAL,"{'lat': 41.39609979999999, 'lng': 2.1329336}",4.7,,83,"Carrer d'Angel Guimerà, 14, Barcelona"
416,Can Buïgas,ChIJ14xfShyZpBIRvwsWDIM_LDk,OPERATIONAL,"{'lat': 41.3939779, 'lng': 2.1320144}",4.3,1.0,168,"Plaça d'Eguilaz, n9, Barcelona"
417,Restaurant Carmel,ChIJKZ0y426YpBIRWh8EY5tYZQk,OPERATIONAL,"{'lat': 41.3944531, 'lng': 2.1323254}",4.3,,166,"Carrer de Buïgas, 26, Barcelona"
418,Taparazzi,ChIJZb_UzHGYpBIR03KP-fCsWIw,OPERATIONAL,"{'lat': 41.3937397, 'lng': 2.136073}",3.7,2.0,258,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
419,Restaurant El Nou,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,OPERATIONAL,"{'lat': 41.3944509, 'lng': 2.1372271}",4.1,2.0,103,"C. de Santa Fe de Nou Mèxic, 15, Barcelona"
