index,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,mon_hours
2569,ChIJkUjPJcKipBIRe3yzI9wfNzI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12:00–6:00PM,Closed,12:00–6:00PM,12:00–11:00PM,12:00–11:00PM,12:00–8:00PM,12:00–6:00PM
2570,ChIJy5lJ9MOipBIRvEnxsX82gj4,Yes,Yes,Yes,Yes,No,Maybe,Yes,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–6:00PM,12:00–11:00PM
2571,ChIJOR-YCQ-jpBIRQZPmFuuHy18,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM
2572,ChIJ11owjcOipBIRtP2qW76yWW8,Yes,Yes,Yes,Yes,No,Yes,No,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM
2573,ChIJWVHoTcGipBIRJEVscpyztow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"12:30–4:30PM, 8:00PM–12:00AM","12:30–4:30PM, 8:00PM–12:00AM","12:30–4:30PM, 8:00PM–12:00AM","12:30–4:30PM, 8:00PM–12:00AM","12:30–4:30PM, 8:00PM–12:00AM",12:30–4:30PM,"12:30–4:30PM, 8:00PM–12:00AM"
2574,ChIJPYEs3MWjpBIRZ6KcN03fGEA,Yes,Maybe,Maybe,Maybe,No,Yes,Maybe,12:30–11:00PM,12:30–11:00PM,Closed,12:30–11:00PM,12:30–11:00PM,12:30–11:00PM,12:30–11:00PM
2575,ChIJpy7ZMMSipBIRICUJkxx5JOY,Yes,Yes,Yes,Yes,Yes,Yes,No,5:00PM–12:00AM,5:00PM–12:00AM,5:00PM–12:00AM,5:00PM–1:00AM,12:00PM–1:00AM,12:00–8:00PM,5:00PM–12:00AM
2576,ChIJV4ARV2KYpBIRbssqAaBFKTI,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM
2577,ChIJBwiQAV6jpBIRc8Kael6LKmI,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Closed,11:00AM–11:00PM,11:00AM–11:00PM,11:00AM–11:00PM,11:00AM–11:00PM,11:00AM–11:00PM,11:00AM–11:00PM
2578,ChIJh77zDsWipBIRG50rWbZoB-4,Yes,Yes,Yes,Yes,No,Yes,Yes,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:30–4:30PM,12:00–11:00PM
2579,ChIJNR_6UMSipBIRaXyv5h4H_Kg,Yes,Yes,Yes,Yes,No,Yes,Yes,12:00AM–12:45PM,"11:30AM–4:00PM, 7:30–11:45PM","11:30AM–4:00PM, 7:30–11:45PM","11:30AM–4:00PM, 7:30–11:45PM","11:30AM–4:00PM, 7:30–11:45PM","11:30AM–4:00PM, 7:30–11:45PM","11:30AM–4:00PM, 7:30PM–12:00AM"
2580,ChIJY1Hao8WipBIRxhPHqd3RuDY,Yes,Yes,Yes,Yes,No,Yes,Maybe,6:30AM–10:00PM,6:30AM–10:00PM,6:30AM–10:00PM,6:30AM–10:00PM,10:00AM–9:30PM,10:00AM–9:30PM,6:30AM–10:00PM
2581,ChIJxcAewMWipBIRc_yGmV85yyw,Yes,Yes,Yes,Yes,No,Yes,Yes,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–12:00AM,9:00AM–12:00AM,9:00AM–12:00AM,9:00AM–5:00PM,Closed
2582,ChIJK0IpiMWipBIRgGLY79AEZMQ,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,"1:00–4:00PM, 8:30–10:00PM","1:00–4:00PM, 8:30–10:00PM","1:00–4:00PM, 8:30–10:00PM","1:00–4:00PM, 8:30–10:00PM","1:00–4:00PM, 8:30–10:00PM",Closed,Closed
2583,ChIJD7z1jcWipBIRG1BrHjyuZRw,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,9:00AM–12:00AM,9:00AM–12:00AM,9:00AM–12:00AM,9:00AM–1:00AM,9:00AM–1:00AM,9:00AM–12:00AM,9:00AM–12:00AM
2584,ChIJIyiJskajpBIRfHMe3OWrSb4,Yes,Yes,Yes,Yes,No,Yes,Yes,"9:00AM–4:30PM, 7:00–11:00PM","9:00AM–4:30PM, 7:00–11:00PM","9:00AM–4:30PM, 7:00–11:00PM","9:00AM–4:30PM, 7:00–11:00PM","9:00AM–4:30PM, 7:00–11:00PM",9:00AM–5:00PM,"9:00AM–4:30PM, 7:00–11:00PM"
2585,ChIJBzb5ec-ipBIRa8RUtqgXVxk,Yes,Yes,Yes,Yes,No,Maybe,Yes,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,Closed,1:00–5:00PM
2586,ChIJU6Qqp8-ipBIRut0azhrCaC4,Yes,Yes,Yes,Yes,No,Yes,Maybe,,,,,,,
2587,ChIJ8aRTDsWipBIR70U_vbleiLs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1:00–3:45PM,1:00–3:45PM,1:00–3:45PM,1:00–3:45PM,1:00–3:45PM,1:00–3:45PM,1:00–3:45PM
2588,ChIJi76vas-ipBIRRz0aWrq2Oeg,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–12:00AM,9:00AM–12:00AM,9:00AM–4:00PM,8:00AM–11:00PM
